strategy,model,resample_time,train_time,threshold,precision,recall,f1,g_mean,auprc,auroc,tp,fp,tn,fn
baseline,logistic_regression,0.016000,0.128000,0.060000,0.681034,0.806122,0.738318,0.897551,0.738238,0.950983,79,37,56827,19
baseline,random_forest,0.014000,20.696000,0.380000,0.910112,0.826531,0.866310,0.909073,0.864287,0.951759,81,8,56856,17
baseline,xgboost,0.018000,5.268000,0.740000,0.931034,0.826531,0.875676,0.909089,0.875264,0.982124,81,6,56858,17
oversample,logistic_regression,0.120000,0.222000,0.570000,0.375546,0.877551,0.525994,0.935598,0.723483,0.961758,86,143,56721,12
oversample,random_forest,0.121000,17.613000,0.570000,0.897727,0.806122,0.849462,0.897772,0.874817,0.951032,79,9,56855,19
oversample,xgboost,0.119000,1.105000,0.760000,0.906977,0.795918,0.847826,0.892080,0.869514,0.972027,78,8,56856,20
undersample,logistic_regression,19.449000,0.179000,0.240000,0.095921,0.887755,0.173134,0.935389,0.725871,0.955918,87,820,56044,11
undersample,random_forest,18.671000,12.595000,0.410000,0.728814,0.877551,0.796296,0.936513,0.869028,0.977979,86,32,56832,12
undersample,xgboost,18.577000,1.127000,0.690000,0.820000,0.836735,0.828283,0.914587,0.834538,0.982208,82,18,56846,16
hybrid,logistic_regression,19.986000,0.156000,0.540000,0.594406,0.867347,0.705394,0.930840,0.738520,0.965649,85,58,56806,13
hybrid,random_forest,20.574000,15.411000,0.290000,0.719008,0.887755,0.794521,0.941926,0.874781,0.968681,87,34,56830,11
hybrid,xgboost,25.701000,1.685000,0.310000,0.779817,0.867347,0.821256,0.931118,0.877594,0.978308,85,24,56840,13
easy_ensemble,logistic_regression,0.000000,0.056000,0.990000,0.557047,0.846939,0.672065,0.919759,0.707244,0.974701,83,66,56798,15
easy_ensemble,random_forest,0.000000,0.989000,0.870000,0.719298,0.836735,0.773585,0.914475,0.692726,0.976599,82,32,56832,16
easy_ensemble,xgboost,0.000000,3.385000,0.990000,0.683761,0.816327,0.744186,0.903214,0.729776,0.980705,80,37,56827,18
