strategy,model,resample_time,train_time,threshold,precision,recall,f1,g_mean,auprc,auroc,tp,fp,tn,fn
baseline,logistic_regression,0.016000,0.247000,0.070000,0.700000,0.785714,0.740385,0.886148,0.734968,0.949969,77,33,56831,21
baseline,random_forest,0.014000,14.141000,0.380000,0.910112,0.826531,0.866310,0.909073,0.864127,0.951758,81,8,56856,17
baseline,xgboost,0.016000,1.105000,0.740000,0.931034,0.826531,0.875676,0.909089,0.875264,0.982124,81,6,56858,17
oversample,logistic_regression,0.090000,0.332000,0.540000,0.372294,0.877551,0.522796,0.935582,0.730920,0.962776,86,145,56719,12
oversample,random_forest,0.083000,12.062000,0.490000,0.898876,0.816327,0.855615,0.903436,0.871231,0.965955,80,9,56855,18
oversample,xgboost,0.093000,1.216000,0.680000,0.861702,0.826531,0.843750,0.909033,0.874705,0.975871,81,13,56851,17
undersample,logistic_regression,19.396000,0.254000,0.280000,0.119835,0.887755,0.211165,0.936899,0.721473,0.958980,87,639,56225,11
undersample,random_forest,19.247000,13.825000,0.380000,0.725000,0.887755,0.798165,0.941934,0.861818,0.967247,87,33,56831,11
undersample,xgboost,20.230000,1.259000,0.660000,0.836735,0.836735,0.836735,0.914603,0.854210,0.982503,82,16,56848,16
hybrid,logistic_regression,21.378000,0.275000,0.550000,0.629630,0.867347,0.729614,0.930905,0.747547,0.967657,85,50,56814,13
hybrid,random_forest,20.919000,16.423000,0.230000,0.649254,0.887755,0.750000,0.941818,0.871916,0.972861,87,47,56817,11
hybrid,xgboost,25.093000,1.300000,0.390000,0.811881,0.836735,0.824121,0.914579,0.876657,0.978944,82,19,56845,16
easy_ensemble,logistic_regression,0.000000,0.161000,0.990000,0.557047,0.846939,0.672065,0.919759,0.723490,0.975193,83,66,56798,15
easy_ensemble,random_forest,0.000000,0.898000,0.870000,0.719298,0.836735,0.773585,0.914475,0.692796,0.976603,82,32,56832,16
easy_ensemble,xgboost,0.000000,3.022000,0.990000,0.683761,0.816327,0.744186,0.903214,0.729776,0.980705,80,37,56827,18
